ts,ifHCInOctets_rate,ifHCOutOctets_rate,ifInErrors_rate,ifOutErrors_rate,ifInDiscards_rate,ifOutDiscards_rate,ifHCInUcastPkts_rate,ifHCOutUcastPkts_rate,ifHCInOctets,ifHCOutOctets,ifInErrors,ifOutErrors,ifInDiscards,ifOutDiscards,ifHCInUcastPkts,ifHCOutUcastPkts
1749055467985479,0.0028074983569369204,0.0645917444099254,0.0,0.0,3.660124316455147e-7,0.0,0.000025654144072608348,0.000045002892163687146,868435471,2263481615,0,0,221330,0,3929483,1596689
1749055528093879,0.002917445814561692,0.06821356083342761,0.0,0.0,3.992786365965489e-7,0.0,0.00002668512221253602,0.000047580704194422075,868610834,2267581823,0,0,221354,0,3931087,1599549
1749055588203983,0.0027430995627623603,0.06463093126573197,0.0,0.0,3.3272276487826406e-7,0.0,0.000023956039071235012,0.00004491757325856565,868775722,2271466795,0,0,221374,0,3932527,1602249
1749055648314829,0.002838372961844523,0.0681564521650552,0.0,0.0,3.9926238935316263e-7,0.0,0.000025386433589705258,0.00004747895246724693,868946339,2275563737,0,0,221398,0,3934053,1605103
1749055708424822,0.002631742113162449,0.06456601982968123,0.0,0.0,3.992680551468372e-7,0.0,0.000024438532208779328,0.00004485111152816138,869104533,2279444800,0,0,221422,0,3935522,1607799
1749055768535322,0.0029546252318646492,0.06813330449755034,0.0,0.0,3.826286588865506e-7,0.0,0.00002723317889553406,0.000047312865472754346,869282137,2283540327,0,0,221445,0,3937159,1610643
1749055828644356,0.0028606348922526354,0.06823360362104638,0.0,0.0,3.8263799082181223e-7,0.0,0.000025902928335198333,0.00004749702016505539,869454087,2287641783,0,0,221468,0,3938716,1613498
1749055888755092,0.002842786686225236,0.06456703508005625,0.0,0.0,3.992631199857543e-7,0.0,0.000025053760779106083,0.00004505018870505927,869624969,2291522955,0,0,221492,0,3940222,1616206
1749055948866741,0.0028544716848476408,0.06816660444633618,0.0,0.0,3.9925705581625283e-7,0.0,0.000026850037003643004,0.00004746168251015706,869796556,2295620562,0,0,221516,0,3941836,1619059
1749056008975249,0.0027031115129325786,0.06459571413750613,0.0,0.0,3.992779191924045e-7,0.0,0.00002575342578791009,0.00004515167802867441,869959036,2299503314,0,0,221540,0,3943384,1621773
1749056069086112,0.0028836884274977053,0.0681563996178195,0.0,0.0,3.9926227643745524e-7,0.0,0.00002606849946572885,0.00004734585161420823,870132377,2303600254,0,0,221564,0,3944951,1624619
1749056129204203,0.0027403564760564336,0.06455075228519815,0.0,0.0,3.9921427312121404e-7,0.0,0.000025133865278589768,0.000044944873582230014,870297122,2307480922,0,0,221588,0,3946462,1627321
1749056189308870,0.0028022116818316287,0.06461271967449715,0.0,0.0,3.993034351226004e-7,0.0,0.000025289217557764692,0.000045104650525723737,870465548,2311364448,0,0,221612,0,3947982,1630032
1749056249417380,0.0027932650468294757,0.06813624227251681,0.0,0.0,3.4936816766877103e-7,0.0,0.000026002973622204244,0.00004726452211176088,870633447,2315460016,0,0,221633,0,3949545,1632873
1749056309527586,0.0026224332021088067,0.06454943774439902,0.0,0.0,3.8263053032957496e-7,0.0,0.00002550315665196689,0.00004485095259863192,870791082,2319340096,0,0,221656,0,3951078,1635569
1749056369637270,0.0028769740330027356,0.0681692986441253,0.0,0.0,3.659975986564827e-7,0.0,0.0000276827274620176,0.00004754641531637398,870964016,2323437731,0,0,221678,0,3952742,1638427
1749056429746092,0.002687558907742361,0.06458424688475844,0.0,0.0,3.992758334209245e-7,0.0,0.00002482164764433414,0.00004505162320432765,871125562,2327319814,0,0,221702,0,3954234,1641135
1749056489856636,0.0029075764145471716,0.06814335268700945,0.0,0.0,3.9926439527813957e-7,0.0,0.00002553628528133101,0.00004741264693927907,871300338,2331415948,0,0,221726,0,3955769,1643985
1749056549966870,0.002845222662084463,0.0646469285080474,0.0,0.0,3.9926645436116585e-7,0.0,0.000026151952760656364,0.00004513374544507679,871471365,2335301890,0,0,221750,0,3957341,1646698
