ts,ifHCInOctets_rate,ifHCOutOctets_rate,ifInErrors_rate,ifOutErrors_rate,ifInDiscards_rate,ifOutDiscards_rate,ifHCInUcastPkts_rate,ifHCOutUcastPkts_rate,ifHCInOctets,ifHCOutOctets,ifInErrors,ifOutErrors,ifInDiscards,ifOutDiscards,ifHCInUcastPkts,ifHCOutUcastPkts
1749106748042646,0.0017463346544247687,0.006122532445767421,0.0,0.0,3.972327903155573e-7,0.0,0.000012065946005835052,4.4688688910500194e-6,973525074,3785759530,0,0,241515,0,4765623,2654258
1749106817366403,0.0013008527509552029,0.004995632305387026,0.0,0.0,3.894768715434739e-7,0.0,9.217619293195549e-6,3.51971691320769e-6,973615254,3786105846,0,0,241542,0,4766262,2654502
1749106880637672,0.0013978698609632754,0.005027400351334822,0.0,0.0,3.951240491161952e-7,0.0,9.261707711283616e-6,3.5877263659750524e-6,973703699,3786423936,0,0,241567,0,4766848,2654729
1749106940937337,0.0018164114178743779,0.004341599576050713,0.0,0.0,3.9801216142743083e-7,0.0,9.10452819265248e-6,3.200681131478923e-6,973813228,3786685733,0,0,241591,0,4767397,2654922
1749107001128728,0.0012731721052932636,0.005650708421076363,0.0,0.0,3.9872811711561875e-7,0.0,9.320269737577588e-6,3.9706674996097035e-6,973889862,3787025857,0,0,241615,0,4767958,2655161
1749107061299870,0.0015102422353891838,0.006057987066291679,0.0,0.0,3.988622984752392e-7,0.0,0.00001045351607253856,4.387485283227631e-6,973980735,3787390373,0,0,241639,0,4768587,2655425
1749107124567276,0.0015474002521930486,0.004706641520912047,0.0,0.0,3.9514817471732603e-7,0.0,8.930348748611567e-6,3.414080229557697e-6,974078635,3787688150,0,0,241664,0,4769152,2655641
1749107184800050,0.0013294257375561019,0.0037908265689373696,0.0,0.0,3.818519133785869e-7,0.0,8.400742094328912e-6,2.7891791933740257e-6,974158710,3787916482,0,0,241687,0,4769658,2655809
1749107245198261,0.0012612956367201009,0.004116231191019879,0.0,0.0,3.9736276294673695e-7,0.0,8.063152731460871e-6,2.930550376732185e-6,974234890,3788165095,0,0,241711,0,4770145,2655986
1749107305515097,0.0013012784689170366,0.004681727668871756,0.0,0.0,3.9789885530467813e-7,0.0,8.869828649500116e-6,3.249507318321538e-6,974313379,3788447482,0,0,241735,0,4770680,2656182
1749107365687980,0.0017163212871153274,0.005941231035913636,0.0,0.0,3.656131949004338e-7,0.0,0.000010386738491489596,4.2876456492869054e-6,974416655,3788804983,0,0,241757,0,4771305,2656440
1749107425978007,0.0014738092587021068,0.0056843397996819605,0.0,0.0,3.980757878910885e-7,0.0,9.537232418223997e-6,3.8646524407759845e-6,974505511,3789147692,0,0,241781,0,4771880,2656673
1749107486254764,0.001514082783186229,0.006149285702281561,0.0,0.0,4.3134371014684815e-7,0.0,0.000010352249043524356,4.429568100354171e-6,974596775,3789518351,0,0,241807,0,4772504,2656940
1749107546424491,0.0014178558596418427,0.0061858681858403645,0.0,0.0,3.8225202517538427e-7,0.0,0.000010054890227439456,4.570404648836117e-6,974682087,3789890553,0,0,241830,0,4773109,2657215
1749107606591605,0.0013468985731973117,0.005837807011983324,0.0,0.0,3.9888900105795333e-7,0.0,0.000010337873277418624,4.088612260844022e-6,974763126,3790241797,0,0,241854,0,4773731,2657461
1749107666880007,0.001660568147087395,0.005912215089064726,0.0,0.0,3.9808651753615894e-7,0.0,0.000011096661676320431,4.2130823105910155e-6,974863239,3790598235,0,0,241878,0,4774400,2657715
1749107727087184,0.0017706360821401741,0.011166027598337654,0.0,0.0,3.986235727345263e-7,0.0,0.000014333839302912343,8.105345978935369e-6,974969844,3791270510,0,0,241902,0,4775263,2658203
1749107787288372,0.0021237288539887288,0.010798009501074962,0.0,0.0,3.9866322903793856e-7,0.0,0.000015165813671318248,7.823765869869546e-6,975097695,3791920563,0,0,241926,0,4776176,2658674
1749107847557352,0.0020410167884042504,0.010329459698836781,0.0,0.0,3.982148030379807e-7,0.0,0.000015148754798903184,7.4167507065823915e-6,975220705,3792543109,0,0,241950,0,4777089,2659121
1749107907742163,0.0016091269273903676,0.009924946013372045,0.0,0.0,3.987717100249762e-7,0.0,0.000013657931068355437,6.995120413354791e-6,975317550,3793140440,0,0,241974,0,4777911,2659542
1749107971043056,0.0017440828204429912,0.010201388470143699,0.0,0.0,3.791415707200213e-7,0.0,0.000014312594294680803,7.4248557599337505e-6,975427952,3793786197,0,0,241998,0,4778817,2660012
1749108031252249,0.002085329394798565,0.011701817694185006,0.0,0.0,3.9861022551821943e-7,0.0,0.000015579016314003745,8.320988457692831e-6,975553508,3794490754,0,0,242022,0,4779755,2660513
1749108091466921,0.001818144919895935,0.011169287777570223,0.0,0.0,3.9857395553030663e-7,0.0,0.000014448305887973616,7.822013877282267e-6,975662987,3795163309,0,0,242046,0,4780625,2660984
1749108223739834,0.001860290171427615,0.01074179110276342,0.0,0.0,3.9312659576794835e-7,0.0,0.00001415255744764614,7.575247095374697e-6,975909053,3796584157,0,0,242098,0,4782497,2661986
1749108283962078,0.001728746607316725,0.00998579528188953,0.0,0.0,3.985238411242198e-7,0.0,0.000013499995118082946,7.206639460329642e-6,976013162,3797185524,0,0,242122,0,4783310,2662420
1749108347171201,0.0019402262549980324,0.010919151654738193,0.0,0.0,4.2715352972070185e-7,0.0,0.000015298424564441433,7.846968545980301e-6,976135802,3797875714,0,0,242149,0,4784277,2662916
1749108407364171,0.001920739249118294,0.012010821197226188,0.0,0.0,3.654911860969811e-7,0.0,0.000014852232744122777,8.67210905193746e-6,976251417,3798598681,0,0,242171,0,4785171,2663438
1749108467619809,0.0016377388618804434,0.010324411468350895,0.0,0.0,3.6511106230424445e-7,0.0,0.000013641876964276771,7.252433373952492e-6,976350100,3799220785,0,0,242193,0,4785993,2663875
1749108527898872,0.0016445179315411722,0.009482712098560657,0.0,0.0,3.981481928476559e-7,0.0,0.000012989584791654775,6.7519297703748314e-6,976449230,3799792394,0,0,242217,0,4786776,2664282
1749108588072480,0.001651072676247035,0.00941000579523169,0.0,0.0,3.822273711757487e-7,0.0,0.000013743566780971484,6.813618355741607e-6,976548581,3800358628,0,0,242240,0,4787603,2664692
1749108657377135,0.0015448312959641744,0.008223127292098922,0.0,0.0,3.751551753630402e-7,0.0,0.000011860675159554578,5.786047127714581e-6,976655645,3800928529,0,0,242266,0,4788425,2665093
1749108717579253,0.002371826851673225,0.011072849629642598,0.0,0.0,3.986570705037321e-7,0.0,0.000015099136545328854,8.089416388971564e-6,976798434,3801595138,0,0,242290,0,4789334,2665580
1749108778007441,0.0017718221171880912,0.011571834654383481,0.0,0.0,3.9716564064439595e-7,0.0,0.000014943357229245399,8.191541338290666e-6,976905502,3802294403,0,0,242314,0,4790237,2666075
1749108838173464,0.0015323765042605526,0.00758915044127148,0.0,0.0,3.822755577512577e-7,0.0,0.000011351921997569958,5.33523713209364e-6,976997699,3802751012,0,0,242337,0,4790920,2666396
1749108898419664,0.0014064787488671485,0.006923988566913764,0.0,0.0,3.9836537408168483e-7,0.0,0.000010789062214712297,5.029362847781271e-6,977082434,3803168156,0,0,242361,0,4791570,2666699
1749108958640784,0.002117778613217423,0.011838255416040087,0.0,0.0,3.9853127939168184e-7,0.0,0.000015575930836224898,8.535211566971853e-6,977209969,3803881069,0,0,242385,0,4792508,2667213
1749109018840190,0.0019323778709710191,0.011961297425426424,0.0,0.0,3.820635705275896e-7,0.0,0.000015830720987512734,8.554901687900376e-6,977326297,3804601132,0,0,242408,0,4793461,2667728
1749109079099727,0.0016554557994695512,0.010594887245814717,0.0,0.0,3.982772054820136e-7,0.0,0.000013840132890499972,7.567266904158258e-6,977426054,3805239575,0,0,242432,0,4794295,2668184
1749109148438404,0.002074585299630104,0.01021444352046117,0.0,0.0,4.038150309674931e-7,0.0,0.000014119104118470562,7.297514488198268e-6,977569903,3805947831,0,0,242460,0,4795274,2668690
1749109208721566,0.0018449762140877745,0.010678952109380063,0.0,0.0,3.8153274043587827e-7,0.0,0.000015228132857397229,7.846303748963931e-6,977681124,3806591592,0,0,242483,0,4796192,2669163
1749109268919733,0.014823358325844041,0.011527045333456748,0.0,0.0,3.9868323565400256e-7,0.0,0.000025665233295226415,0.000013222993982524418,978573463,3807285499,0,0,242507,0,4797737,2669959
1749109329167231,0.0016404332674528658,0.00825285723898443,0.0,0.0,3.983567915135663e-7,0.0,0.000011917507346114191,5.742977077653913e-6,978672295,3807782713,0,0,242531,0,4798455,2670305
1749109389392181,0.0017256967419649165,0.011921869590593267,0.0,0.0,3.985059348326566e-7,0.0,0.000014894159314370539,8.501459943096673e-6,978776225,3808500707,0,0,242555,0,4799352,2670817
1749109452702786,0.0017714567725264985,0.010803182184090643,0.0,0.0,3.948785515475646e-7,0.0,0.000014294603566021837,7.70802932620846e-6,978888377,3809184663,0,0,242580,0,4800257,2671305
1749109513081074,0.00170196942318073,0.010916556627110725,0.0,0.0,3.6436939053323274e-7,0.0,0.000014226968475820315,7.767692916367552e-6,978991139,3809843786,0,0,242602,0,4801116,2671774
1749109573399553,0.007073951582897175,0.010281409781569592,0.0,0.0,3.813093496604913e-7,0.0,0.00001845205679009247,8.952480383333273e-6,979417829,3810463945,0,0,242625,0,4802229,2672314
1749109633583238,0.0018596900472279156,0.005200628708594364,0.0,0.0,3.6554757323351007e-7,0.0,0.000010634111221338475,3.6720915311184417e-6,979529752,3810776938,0,0,242647,0,4802869,2672535
1749109693925646,0.0014809319508760738,0.008149509048429092,0.0,0.0,3.8115814005964095e-7,0.0,0.000011699897690526371,5.750516286986757e-6,979619115,3811268699,0,0,242670,0,4803575,2672882
